1,2,0,0
1,2,1,3
1,2,2,9
1,2,3,3
1,2,4,-1
1,2,5,-4
1,2,6,-4
1,2,7,3
1,2,8,-1
1,2,9,2
1,2,10,1
1,2,11,12
1,2,12,3
1,2,13,12
1,2,14,3
1,1,0,1
1,1,1,1
1,1,2,10
1,1,3,0
1,1,4,-2
1,1,5,-2
1,1,6,-1
1,1,7,2
1,1,8,0
1,1,9,1
1,1,10,3
1,1,11,10
1,1,12,2
1,1,13,10
1,1,14,2
1,1,0,1
1,1,1,1
1,1,2,10
1,1,3,0
1,1,4,-2
1,1,5,-2
1,1,6,-1
1,1,7,2
1,1,8,0
1,1,9,1
1,1,10,3
1,1,11,10
1,1,12,2
1,1,13,10
1,1,14,2
1,1,15,5
1,1,0,1
1,1,1,1
1,1,2,10
1,1,3,0
1,1,4,-2
1,1,5,-2
1,1,6,-1
1,1,7,2
1,1,8,0
1,1,9,1
1,1,10,3
1,1,11,10
1,1,12,2
1,1,13,10
1,1,14,2
1,1,15,11
1,1,0,1
1,1,1,1
1,1,2,10
1,1,3,0
1,1,4,-2
1,1,5,-2
1,1,6,-1
1,1,7,2
1,1,8,0
1,1,9,1
1,1,10,3
1,1,11,10
1,1,12,2
1,1,13,10
1,1,14,2
1,1,15,15
1,1,0,1
1,1,1,1
1,1,2,10
1,1,3,0
1,1,4,-2
1,1,5,-2
1,1,6,-1
1,1,7,2
1,1,8,0
1,1,9,1
1,1,10,3
1,1,11,10
1,1,12,2
1,1,13,10
1,1,14,2
1,1,15,10
